5 Minutes	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
10/21/2024 04:00	92.0	1.8	3	0.0
10/21/2024 04:05	102.0	1.9	3	0.0
10/21/2024 04:10	116.0	2.2	3	0.0
10/21/2024 04:15	130.0	2.4	3	0.0
10/21/2024 04:20	145.0	2.7	3	0.0
10/21/2024 04:25	160.0	2.9	3	0.0
10/21/2024 04:30	177.0	3.2	3	0.0
10/21/2024 04:35	199.0	3.6	3	0.0
10/21/2024 04:40	227.0	4.0	3	0.0
10/21/2024 04:45	238.0	4.3	3	0.0
10/21/2024 04:50	260.0	4.6	3	0.0
10/21/2024 04:55	257.0	4.6	3	0.0
10/21/2024 05:00	271.0	4.9	3	0.0
10/21/2024 05:05	294.0	5.3	3	0.0
10/21/2024 05:10	316.0	5.9	3	0.0
10/21/2024 05:15	330.0	6.3	3	0.0
10/21/2024 05:20	360.0	6.9	3	0.0
10/21/2024 05:25	366.0	7.2	3	0.0
10/21/2024 05:30	369.0	7.2	3	0.0
10/21/2024 05:35	376.0	7.4	3	0.0
10/21/2024 05:40	389.0	7.9	3	0.0
10/21/2024 05:45	389.0	8.0	3	0.0
10/21/2024 05:50	388.0	8.0	3	0.0
10/21/2024 05:55	381.0	7.7	3	0.0
10/21/2024 06:00	377.0	7.7	3	0.0
10/21/2024 06:05	383.0	7.7	3	0.0
10/21/2024 06:10	394.0	8.1	3	0.0
10/21/2024 06:15	406.0	8.5	3	0.0
10/21/2024 06:20	415.0	8.7	3	0.0
10/21/2024 06:25	415.0	9.0	3	0.0
10/21/2024 06:30	418.0	9.1	3	0.0
10/21/2024 06:35	419.0	9.4	3	0.0
10/21/2024 06:40	422.0	9.5	3	0.0
10/21/2024 06:45	419.0	9.8	3	0.0
10/21/2024 06:50	419.0	9.7	3	0.0
10/21/2024 06:55	415.0	9.6	3	0.0
10/21/2024 07:00	412.0	9.5	3	0.0
10/21/2024 07:05	412.0	9.6	3	0.0
10/21/2024 07:10	418.0	10.0	3	0.0
10/21/2024 07:15	419.0	10.4	3	0.0
10/21/2024 07:20	419.0	10.5	3	0.0
10/21/2024 07:25	418.0	10.7	3	0.0
10/21/2024 07:30	412.0	10.7	3	0.0
10/21/2024 07:35	411.0	10.7	3	0.0
10/21/2024 07:40	409.0	10.6	3	0.0
10/21/2024 07:45	403.0	10.5	3	0.0
10/21/2024 07:50	396.0	10.4	3	0.0
10/21/2024 07:55	396.0	10.0	3	0.0
10/21/2024 08:00	394.0	9.9	3	0.0
10/21/2024 08:05	392.0	9.8	3	0.0
10/21/2024 08:10	389.0	9.7	3	0.0
10/21/2024 08:15	390.0	9.7	3	0.0
10/21/2024 08:20	392.0	9.6	3	0.0
10/21/2024 08:25	389.0	9.6	3	0.0
10/21/2024 08:30	387.0	9.4	3	0.0
10/21/2024 08:35	387.0	9.2	3	0.0
10/21/2024 08:40	384.0	9.1	3	0.0
10/21/2024 08:45	380.0	8.8	3	0.0
10/21/2024 08:50	377.0	8.6	3	0.0
10/21/2024 08:55	363.0	8.3	3	0.0
10/21/2024 09:00	359.0	8.0	3	0.0
10/21/2024 09:05	361.0	8.1	3	0.0
10/21/2024 09:10	365.0	8.0	3	0.0
10/21/2024 09:15	372.0	8.1	3	0.0
10/21/2024 09:20	373.0	8.1	3	0.0
10/21/2024 09:25	376.0	7.9	3	0.0
10/21/2024 09:30	372.0	7.9	3	0.0
10/21/2024 09:35	373.0	7.9	3	0.0
10/21/2024 09:40	376.0	7.8	3	0.0
10/21/2024 09:45	373.0	7.8	3	0.0
10/21/2024 09:50	370.0	7.6	3	0.0
10/21/2024 09:55	360.0	7.3	3	0.0
