5 Minutes	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
10/21/2024 04:00	135.0	4.3	3	33.3
10/21/2024 04:05	140.0	4.7	3	33.3
10/21/2024 04:10	176.0	5.3	3	33.3
10/21/2024 04:15	201.0	6.0	3	33.3
10/21/2024 04:20	188.0	5.9	3	33.3
10/21/2024 04:25	220.0	7.2	3	33.3
10/21/2024 04:30	253.0	7.9	3	33.3
10/21/2024 04:35	249.0	7.9	3	33.3
10/21/2024 04:40	290.0	8.8	3	33.3
10/21/2024 04:45	284.0	8.9	3	33.3
10/21/2024 04:50	288.0	8.8	3	33.3
10/21/2024 04:55	326.0	10.6	3	33.3
10/21/2024 05:00	348.0	11.1	3	33.3
10/21/2024 05:05	360.0	11.9	3	33.3
10/21/2024 05:10	413.0	13.9	3	33.3
10/21/2024 05:15	378.0	14.0	3	33.3
10/21/2024 05:20	411.0	15.0	3	33.3
10/21/2024 05:25	327.0	11.5	3	33.3
10/21/2024 05:30	381.0	14.6	3	33.3
10/21/2024 05:35	352.0	19.4	3	33.3
10/21/2024 05:40	307.0	24.5	3	33.3
10/21/2024 05:45	322.0	23.1	3	33.3
10/21/2024 05:50	332.0	20.5	3	33.3
10/21/2024 05:55	296.0	27.7	3	33.3
10/21/2024 06:00	315.0	20.6	3	33.3
10/21/2024 06:05	298.0	20.2	3	33.3
10/21/2024 06:10	258.0	29.4	3	33.3
10/21/2024 06:15	271.0	31.2	3	33.3
10/21/2024 06:20	234.0	37.4	3	33.3
10/21/2024 06:25	275.0	29.4	3	33.3
10/21/2024 06:30	208.0	38.5	3	33.3
10/21/2024 06:35	236.0	37.4	3	33.3
10/21/2024 06:40	238.0	35.9	3	33.3
10/21/2024 06:45	244.0	36.7	3	33.3
10/21/2024 06:50	226.0	38.5	3	33.3
10/21/2024 06:55	237.0	35.1	3	33.3
10/21/2024 07:00	228.0	38.4	3	33.3
10/21/2024 07:05	264.0	28.7	3	33.3
10/21/2024 07:10	226.0	32.3	3	33.3
10/21/2024 07:15	232.0	36.4	3	33.3
10/21/2024 07:20	261.0	31.1	3	33.3
10/21/2024 07:25	226.0	37.1	3	33.3
10/21/2024 07:30	244.0	34.8	3	33.3
10/21/2024 07:35	279.0	20.3	3	33.3
10/21/2024 07:40	271.0	21.6	3	33.3
10/21/2024 07:45	287.0	21.7	3	33.3
10/21/2024 07:50	284.0	26.9	3	33.3
10/21/2024 07:55	278.0	24.6	3	33.3
10/21/2024 08:00	226.0	19.0	3	33.3
10/21/2024 08:05	302.0	20.6	3	33.3
10/21/2024 08:10	301.0	23.3	3	33.3
10/21/2024 08:15	300.0	21.9	3	33.3
10/21/2024 08:20	246.0	13.0	3	33.3
10/21/2024 08:25	257.0	13.5	3	33.3
10/21/2024 08:30	268.0	11.8	3	33.3
10/21/2024 08:35	324.0	12.1	3	33.3
10/21/2024 08:40	317.0	11.2	3	33.3
10/21/2024 08:45	292.0	9.6	3	33.3
10/21/2024 08:50	252.0	8.3	3	33.3
10/21/2024 08:55	259.0	8.6	3	33.3
10/21/2024 09:00	311.0	10.5	3	33.3
10/21/2024 09:05	303.0	10.8	3	33.3
10/21/2024 09:10	282.0	9.3	3	33.3
10/21/2024 09:15	284.0	9.3	3	33.3
10/21/2024 09:20	300.0	11.1	3	33.3
10/21/2024 09:25	287.0	10.0	3	33.3
10/21/2024 09:30	284.0	9.6	3	33.3
10/21/2024 09:35	312.0	10.1	3	33.3
10/21/2024 09:40	261.0	8.7	3	33.3
10/21/2024 09:45	314.0	11.0	3	33.3
10/21/2024 09:50	326.0	11.6	3	33.3
10/21/2024 09:55	255.0	8.7	3	33.3
